state,highway,exit,latitude,longitude
AL,I65,128,31.822613,-86.664403
AL,I65,205,32.803079,-86.5806525
AL,I65,200,32.737042,-86.542957
AL,I65,212,32.8887115,-86.6244315
AL,I65,219,32.9800475,-86.6882155
AL,I65,208,32.84344715,-86.59521515
AL,I65,96,31.457698550000003,-86.96531809999999
AL,I65,93,31.41879,-87.0062655
AL,I65,83,31.3293325,-87.12691899999999
AL,I65,101,31.5057115,-86.9233495
AL,I65,77,31.2766585,-87.20466049999999
AL,I65,299,34.053934,-86.866511
AL,I65,304,34.1133035,-86.8661685
AL,I65,291,33.9486123,-86.87007925
AL,I65,310,34.2077795,-86.878624
AL,I65,308,34.170167000000006,-86.875137
AL,I65,305,34.1302526,-86.86746084999999
AL,I65,181,32.488374199999996,-86.40897575
AL,I65,179,32.45957525,-86.38762009999999
AL,I65,69,31.203721,-87.31121949999999
AL,I65,54,31.083868000000002,-87.534614
AL,I65,57,31.1107215,-87.473709
AL,I65,259A,33.5015858,-86.8146306
AL,I65,282,33.8109125,-86.82521700000001
AL,I65,280,33.785987,-86.8250865
AL,I65,255,33.4510172,-86.8182909
AL,I65,256A,33.464104500000005,-86.82444100000001
AL,I65,258,33.484096,-86.8261615
AL,I65,275,33.7188,-86.82893
AL,I65,262A,33.5295909,-86.825827
AL,I65,262B,33.54159515,-86.82582550000001
AL,I65,267,33.6094472,-86.8102623
AL,I65,281,33.80065295,-86.82490745000001
AL,I65,272,33.6714895,-86.82982799999999
AL,I65,265,33.5912029,-86.8058549
AL,I65,263,33.551838849999996,-86.8299675
AL,I65,261C,33.52232065,-86.82683589999999
AL,I65,259B,33.504237,-86.816302
AL,I65,256B,33.4635342,-86.8241132
AL,I65,261D,33.5210298,-86.8259106
AL,I65,261B,33.520919250000006,-86.82602265
AL,I65,264,33.561675199999996,-86.8275712
AL,I65,265A,33.5661819,-86.8233232
AL,I65,265B,33.5697838,-86.8198831
AL,I65,365,34.972013000000004,-86.8835815
AL,I65,361,34.919891,-86.906535
AL,I65,351,34.78295585,-86.93973765
AL,I65,340B,34.6328514,-86.9024021
AL,I65,340,34.6187669,-86.8995276
AL,I65,340A,34.6273818,-86.9014126
AL,I65,354,34.8308376,-86.93866399999999
AL,I65,347,34.73104395,-86.9362956
AL,I65,151,32.109629999999996,-86.461567
AL,I65,142,31.9850522,-86.52960955
AL,I65,158,32.1956355,-86.4173435
AL,I65,10,30.767487000000003,-88.0939865
AL,I65,8,30.74090705,-88.10765165
AL,I65,3,30.6762424,-88.12727205
AL,I65,5B,30.709101349999997,-88.12198244999999
AL,I65,9,30.75506625,-88.09443974999999
AL,I65,19,30.8754725,-88.047388
AL,I65,5A,30.70236055,-88.12340995
AL,I65,1,32.104584100000004,-87.70807376666666
AL,I65,22,30.8925715,-88.01893455000001
AL,I65,0,30.6335913,-88.1185562
AL,I65,15,30.8294745,-88.089218
AL,I65,13,30.800258900000003,-88.10336534999999
AL,I65,4,30.6882871,-88.12633285
AL,I65,173,32.38703035,-86.32243095000001
AL,I65,170,32.351527000000004,-86.32149899999999
AL,I65,167,32.3106115,-86.337077
AL,I65,176,32.414838,-86.353151
AL,I65,171,32.366430550000004,-86.32217865
AL,I65,168,32.326996050000005,-86.33474705
AL,I65,164,32.26677535,-86.35500235
AL,I65,172,32.37588865,-86.32198364999999
AL,I65,169,32.346123,-86.323856
AL,I65,328,34.449338999999995,-86.9013425
